pgn,packNumber,name,startByte,startBit,bitLength,signed,a,b,unitType,meanings,getMeaning,decoder,answerOnly,var,varName,cVar,cType,nodata,condition,postHook
3,,SPN,0,0,16,,,,,,,,,,,,,,,
4,,SPN,0,0,16,,,,,,,,,,,,,,,
4,,Значение,2,0,32,,,,,,,,,,,,,,,
5,,SPN,0,0,16,,,,,,,,,,,,,,,
5,,Значение,2,0,32,,,,,,,,,,,,,,,
6,,Pgn,0,0,16,,,,,,pgn_name,,,,,,,,,
7,,Команда,0,0,8,,,,,0=Стереть конфигурацию|1=Запись параметра в ОЗУ|2=Запись всех параметров во Flash|3=Чтение параметра по номеру|4=Успешный ответ на запрос|5=Невозможно выполнить,,,,,,,,,,
7,,Запрошенная команда,1,0,8,,,,,0=Стереть конфигурацию|1=Запись параметра в ОЗУ|2=Запись всех параметров во Flash|3=Чтение параметра по номеру|255=,,,,,,,,,,
7,,Параметр,2,0,16,,,,,,param_name,,,,,,,,,
7,,Value,4,0,32,,,,,,,,TRUE,,,,,,,
8,,Команда,0,0,4,,,,,0=Стереть ЧЯ|3=Чтение ЧЯ|4=Ответ|6=Чтение параметра (из paramsname.h),,,,,,,,,,
8,,Тип:,0,4,2,,,,,0=Общие данные|1=Неисправности,,,,,,,,,,
8,,Номер пары,,0,,,,,,,,bb_pair_number,,,,,,,,
8,,Номер параметра,,0,,,,,,,,bb_param_number_req,,,,,,,,
8,,Число пар,,0,,,,,,,,bb_pair_count,,,,,,,,
8,,Номер параметра,,0,,,,,,,,bb_param_number_ans,,,,,,,,
8,,Значение параметра,,0,,,,,,,,bb_param_value,TRUE,,,,,,,
9,,Текущий ШИМ,,0,16,,0.01,,Percent,,,,,133,,,,,,
10,,Стадия,0,0,8,,,,,Stages,,,,1,,,,,,
10,,Режим,1,0,8,,,,,,,,,2,,,,,,
10,,Код неисправности,2,0,8,,,,,,error_code,,,24,,,,,,
10,,Помпа неисправна,3,0,2,,,,,YesNo,,,,,,,,,,
10,,Код предупреждения,4,0,8,,,,,,,,,,,,,,,
10,,Количество морганий,5,0,8,,,,,,,,,25,,,,,,
10,,Желаемый режим мощности,6,0,8,,,,,,,,,132,,,,,,
10,,Вариант розжига,7,0,4,,,,,,,,,,,,,,,
10,,Число срывов пламени,7,4,4,,,,,,,,,,,,,,,
11,,Напряжение питания,0,0,16,,0.1,,Volt,,,,,5,,,,,,
11,,Атмосферное давление,2,0,8,,,,Pressure,,,,,,,,,,,
11,,"Ток двигателя, значения АЦП",3,0,16,,,,,,,,,,,,,,,
11,,"Ток двигателя, мА",5,0,16,,0.001,,Current,,,,,128,,,,,,
12,,Заданные обороты нагнетателя,0,0,8,,,,Rps,,,,,15,,,,,,
12,,Измеренные обороты нагнетателя,1,0,8,,,,Rps,,,,,16,,,,,,
12,,Заданная частота ТН,2,0,16,,0.01,,Frequency,,,,,17,,,,,,
12,,Реализованная частота ТН,4,0,16,,0.01,,Frequency,,,,,18,,,,,,
12,,Мощность свечи,6,0,8,,,,Percent,,,,,21,,,,,,
12,,Состояние помпы,7,0,2,,,,,OnOff,,,,46,,,,,,
12,,Состояние реле печки кабины,7,2,2,,,,,OnOff,,,,45,,,,,,
12,,Состояние канала сигнализации,7,4,2,,,,,OnOff,,,,47,,,,,,
13,,Температура ИП,0,0,16,TRUE,,,Temp,,,,,6,,,,,,
13,,Температура платы/процессора,2,0,8,,,-75,Temp,,,,,59,,,,,,
13,,Температура жидкости,3,0,8,,,-75,Temp,,,,,40,,,,,,
13,,Температура перегрева,4,0,8,,,-75,Temp,,,,,41,,,,,,
14,,Минимальная температура пламени перед розжигом,0,0,16,TRUE,,,Temp,,,,,36,,,,,,
14,,Граница срыва пламени,2,0,16,TRUE,,,Temp,,,,,37,,,,,,
14,,Граница срыва пламени на прогреве,4,0,16,TRUE,,,Temp,,,,,,,,,,,
14,,Скорость изменения температуры ИП,6,0,16,TRUE,,,Temp,,,,,,,,,,,
15,,0 канал АЦП,0,0,16,,,,,,,,,49,,,,,,
15,,1 канал АЦП,2,0,16,,,,,,,,,50,,,,,,
15,,2 канал АЦП,4,0,16,,,,,,,,,51,,,,,,
15,,3 канал АЦП,6,0,16,,,,,,,,,52,,,,,,
16,,4 канал АЦП,0,0,16,,,,,,,,,53,,,,,,
16,,5 канал АЦП,2,0,16,,,,,,,,,54,,,,,,
16,,6 канал АЦП,4,0,16,,,,,,,,,55,,,,,,
16,,7 канал АЦП,6,0,16,,,,,,,,,56,,,,,,
17,,8 канал АЦП,0,0,16,,,,,,,,,57,,,,,,
17,,9 канал АЦП,2,0,16,,,,,,,,,58,,,,,,
17,,10 канал АЦП,4,0,16,,,,,,,,,,,,,,,
17,,11 канал АЦП,6,0,16,,,,,,,,,,,,,,,
18,,Вид изделия,0,0,8,,,,,,,firmware_version,,,,,,,,
18,,Дата релиза,5,0,24,,,,,,release_date,,,,,,,,,
19,1,Подогреватель,1,0,2,,,,,OnOff,,,,,,,,,,
19,1,Запрос включения помпы,1,2,2,,,,,OnOff,,,,,,,,,,
19,1,Кнопка воды (для котла),1,4,2,,,,,OnOff,,,,,,,,,,
19,1,Быстрый нагрев воды,1,6,2,,,,,OnOff,,,,,,,,,,
19,1,Помпа подогревателя статус,7,0,2,,,,,OnOff,,,,,,,,,,
19,1,Температура бака,2,0,8,,,-75,Temp,,,,,,,,,,,
