id,name,multiPack,manual,notes
0,t_empty_command,,,
1,t_control_command,,,
2,t_received_command_ack,,,
3,t_spn_request,,,
4,t_spn_answer,,,
5,t_parameter_write,,,
6,t_pgn_request,,,
7,t_flash_conf_read_write,,,
8,t_black_box_operation,,,
9,t_pwm_data,,,
10,t_stage_mode_failures,,,
11,t_voltage_pressure_current,,,
12,t_blower_fp_plug_relay,,,
13,t_liquid_heater_temperatures,,,
14,t_flame_process,,,
15,t_adc0-3,,,
16,t_adc4-7,,,
17,t_adc8-11,,,
18,t_firmware_version,,,
19,t_hcu_Parameters,TRUE,,
20,t_failures,,,
21,t_hcu_status,,,
22,t_zone_control,,,
23,t_fan_setpoints,,,
24,t_fan_current_speed,,,
25,t_daytime_setpoins,,,
26,t_nighttime_setpoints,,,
27,t_fan_manual_control,,,
28,t_total_working_time,,,
29,t_Параметры давления,TRUE,,
30,t_remote_wire_engine_air_temp,,,
31,t_working_time,,,
32,t_liquid_heater_setup,,,
33,t_serial_number,TRUE,,
34,t_read_flash_by_address_req,,,
35,t_read_flash_by_address_ans,,,
36,t_valves_status_probe_valve_failures,,,
37,t_air_heater_temperatures,TRUE,,
38,t_panel_temperature,,,
39,t_drivers_status,,,
40,t_date_time,,,
41,t_day_night_backlight,,,
42,t_pump_control,,,
43,t_generic_board_pwm_command,,,
44,t_generic_board_pwm_status,,,
45,t_generic_board_temp,,,
46,t_hcu_error_codes,,,
47,t_actuator_override,,,
48,t_test_report,,,
49,t_generic_load_control,,,
50,t_compressor_control,TRUE,,
51,t_ac_control,TRUE,,
52,t_ac_manual_control,TRUE,,
55,t_tank_levels,,,
56,t_furnace_control,,,
57,t_extra_heater_Parameters,,,
99,t_debug_pack,,,
100,t_memory_control_old,TRUE,,
101,t_buffer_data_transmitting_old,,,
105,t_memory_control,,,
106,t_buffer_data_transmitting,,,
